ric,ticker,isin,exchange_name,coverage_role
ACTV.N,ACTV,US90214Q7170,New York Stock Exchange
ACU.A,ACU,US0048161048,American Stock Exchange
ACVA.N,ACVA,US00091G1040,New York Stock Exchange
ACV^E11,ACV,US0130781000,New York Consolidated
ACW.N,ACW,,
ACW.PH,ACW,,
AD,AD,US9116841084,New York Consolidated
ADAM.OQ,ADAM,US6496048405,Nasdaq Stock Exchange Global Select Market
ADBE.OQ,ADBE,US00724F1012,Nasdaq Stock Exchange Global Select Market
ADC.N,ADC,US0084921008,New York Stock Exchange
ADCT.N,ADCT,CH0499880968,New York Stock Exchange
ADCT.O^L10,ADCT,US0008863096,Consolidated Issue Listed on Nasdaq Global Select Market
ADEA.OQ,ADEA,US00676P1075,Nasdaq Stock Exchange Global Select Market
ADES.OQ,ADES,,
ADGE.A,ADGE,,
ADI.OQ,ADI,US0326541051,Nasdaq Stock Exchange Global Select Market
ADM.N,ADM,US0394831020,New York Stock Exchange
ADMA.OQ,ADMA,US0008991046,NASDAQ Stock Exchange Global Market
ADNC.OQ,ADNC,,
ADNT.N,ADNT,IE00BD845X29,New York Stock Exchange
ADP.II,ADP,,
ADP.OQ,ADP,US0530151036,Nasdaq Stock Exchange Global Select Market
ADPI.OQ,ADPI,,
ADPT.OQ,ADPT,US00650F1093,Nasdaq Stock Exchange Global Select Market
ADPTDE.INS,ADPTDE,,
ADSK.IX,ADSK,,
ADSK.OQ,ADSK,US0527691069,Nasdaq Stock Exchange Global Select Market
ADTN.OQ,ADTN,US00486H1059,Nasdaq Stock Exchange Global Select Market
ADTNDE.INS,ADTNDE,,
ADUS.OQ,ADUS,US0067391062,Nasdaq Stock Exchange Global Select Market
ADV.OQ,ADV,US00791N1028,Nasdaq Stock Exchange Global Select Market
ADVNB.OQ,ADVNB,,
ADVS.O^G15,ADVS,US0079741080,Consolidated Issue Listed on Nasdaq Global Select Market
ADY.P,ADY,,
AEBASG.TRE,AEBASG,US0185223007,London Stock Exchange
AEBI.OQ,AEBI,CH0027352993,Nasdaq Stock Exchange Global Select Market
AEC.N,AEC,CA03464C2058,New York Stock Exchange
AEE.II,AEE,US02361DAH35,
AEE.N,AEE,US0236081024,New York Stock Exchange
AEGR.OQ,AEGR,,
AEHR.OQ,AEHR,US00760J1088,NASDAQ Stock Exchange Capital Market
AEIS.OQ,AEIS,US0079731008,Nasdaq Stock Exchange Global Select Market
AEO.N,AEO,US02553E1064,New York Stock Exchange
AEP.OQ,AEP,US0255371017,Nasdaq Stock Exchange Global Select Market
AEPI.OQ,AEPI,,
AEPI.P,AEPI,,
AER.N,AER,NL0000687663,New York Stock Exchange
AES.N,AES,US00130H1059,New York Stock Exchange
AESI.N,AESI,US6420451089,New York Stock Exchange
AET.N,AET,,
AEVA.OQ,AEVA,US00835Q2021,Nasdaq Stock Exchange Global Select Market
AEYE.OQ,AEYE,US0507342014,NASDAQ Stock Exchange Capital Market
AF.N,AF,,
AFCG.OQ,AFCG,US00109K1051,NASDAQ Stock Exchange Global Market
AFFX.OQ,AFFX,,
AFFY.OQ,AFFY,,
AFG.N,AFG,US0259321042,New York Stock Exchange
AFH.OQ,AFH,,
AFIB.PK,AFIB,US0051111096,USA Pink Sheets
AFIIQ.PK,AFIIQ,US04238R1068,USA Pink Sheets
AFL.II,AFL,,
AFL.N,AFL,US0010551028,New York Stock Exchange
AFNF.ICEM,AFNF,US88870R1023,TPICAP
AFOP.OQ,AFOP,,
AFR.B,AFR,,
AFRI.OQ,AFRI,GI000A3DNK69,NASDAQ Stock Exchange Capital Market
AFRM.OQ,AFRM,US00827B1061,Nasdaq Stock Exchange Global Select Market
AFSRP.CJ,AFSR,US33813J1060,Costa Rica Exchange
AG.TO,AG,CA32076V1031,The Toronto Stock Exchange
AGAF.TPRM,AGAF,US0171751003,TPICAP
AGCO.N,AGCO,US0010841023,New York Stock Exchange
AGEN.OQ,AGEN,US00847G8042,NASDAQ Stock Exchange Capital Market
AGIL.IX,AGIL,,
AGIO.OQ,AGIO,US00847X1046,Nasdaq Stock Exchange Global Select Market
AGL.N,AGL,US00857U1079,New York Stock Exchange
AGM.N,AGM,US3131483063,New York Stock Exchange
AGN.II,AGN,,
AGN.N,AGN,,
AGN^E20,AGN^E20,IE00BY9D5467,New York Consolidated
AGO.P,AGO,BMG0585R1060,NYSE Arca
AGP^L12,AGP,US03073T1025,New York Consolidated
AGX.N,AGX,US04010E1091,New York Stock Exchange
AGYS.OQ,AGYS,US00847J1051,Nasdaq Stock Exchange Global Select Market
AH.N,AH,,
AHCO.OQ,AHCO,US00653Q1022,NASDAQ Stock Exchange Capital Market
AHG.B,AHG,US98422P1084,Boston SE when trading NASDAQ Global Market
AHL.N,AHL,BMG053845019,New York Stock Exchange
AHM.TH,AHM,,
AHR.N,AHR,US3981823038,New York Stock Exchange
AHRT.N,AHRT,US04208T1088,New York Stock Exchange
AHT.N,AHT,US0441037944,New York Stock Exchange
AI.N,AI,US12468P1049,New York Stock Exchange
AIG.N,AIG,US0268747849,New York Stock Exchange
AII.N,AII,US0269481091,New York Stock Exchange
AIMTN.BCU,AIMTN,US00900T1079,BATS Europe
AIN.N,AIN,US0123481089,New York Stock Exchange
AINV.OQ,AINV,,
AIOT.OQ,AIOT,US73931J1097,NASDAQ Stock Exchange Global Market
AIP.OQ,AIP,US04302A1043,NASDAQ Stock Exchange Global Market
AIR.N,AIR,US0003611052,New York Stock Exchange
AIRG.OQ,AIRG,US00938A1043,NASDAQ Stock Exchange Capital Market
AIRJ.OQ,AIRJ,US6121601016,NASDAQ Stock Exchange Capital Market
AIRM.O,AIRM,,
AIRO.OQ,AIRO,US0094221068,NASDAQ Stock Exchange Global Market
AIRS.OQ,AIRS,US0094961002,NASDAQ Stock Exchange Global Market
AISP.OQ,AISP,US0089401089,NASDAQ Stock Exchange Global Market
AIT.N,AIT,US03820C1053,New York Stock Exchange
AIV.II,AIV,,
AIV.N,AIV,US03748R7474,New York Stock Exchange
AIZ.II,AIZ,,
AIZ.N,AIZ,US04621X1081,New York Stock Exchange
AJG.N,AJG,US3635761097,New York Stock Exchange
AKAM.OQ,AKAM,US00971T1016,Nasdaq Stock Exchange Global Select Market
AKBA.OQ,AKBA,US00972D1054,NASDAQ Stock Exchange Capital Market
AKCA.OQ,AKCA,,
AKR.N,AKR,US0042391096,New York Stock Exchange
AKRO.OQ^L25,AKRO,US00973Y1082,Nasdaq Stock Exchange Global Select Market
AKRX.OQ,AKRX,,
AKS^C20,AKS^C20,US0015471081,New York Consolidated
ALAB.OQ,ALAB,US04626A1034,Nasdaq Stock Exchange Global Select Market
ALB.N,ALB,US0126531013,New York Stock Exchange
ALCO.OQ,ALCO,US0162301040,Nasdaq Stock Exchange Global Select Market
ALDX.OQ,ALDX,US01438T1060,NASDAQ Stock Exchange Capital Market
ALEC.OQ,ALEC,US0144421072,Nasdaq Stock Exchange Global Select Market
ALEX.N,ALEX,US0144911049,
ALFA.OQ,ALFA,,
ALG.N,ALG,US0113111076,New York Stock Exchange
ALGM.OQ,ALGM,US01749D1054,Nasdaq Stock Exchange Global Select Market
ALGN.OQ,ALGN,US0162551016,Nasdaq Stock Exchange Global Select Market
ALGS.OQ,ALGS,US01626L2043,NASDAQ Stock Exchange Capital Market
ALGT.OQ,ALGT,US01748X1028,Nasdaq Stock Exchange Global Select Market
ALH.N,ALH,US01862Q1076,New York Stock Exchange
ALHC.OQ,ALHC,US01625V1044,Nasdaq Stock Exchange Global Select Market
ALIT.N,ALIT,US01626W1018,New York Stock Exchange
ALJ.N,ALJ,,
ALJ.PH,ALJ,,
ALK.N,ALK,US0116591092,New York Stock Exchange
ALKS.OQ,ALKS,IE00B56GVS15,Nasdaq Stock Exchange Global Select Market
ALKT.OQ,ALKT,US01644J1088,Nasdaq Stock Exchange Global Select Market
ALL.N,ALL,US0200021014,New York Stock Exchange
ALLE.N,ALLE,IE00BFRT3W74,New York Stock Exchange
ALLO.OQ,ALLO,US0197701065,Nasdaq Stock Exchange Global Select Market
ALLY.N,ALLY,US02005N1000,New York Stock Exchange
ALMS.OQ,ALMS,US0223071020,Nasdaq Stock Exchange Global Select Market
ALMU.OQ,ALMU,US00776X1090,NASDAQ Stock Exchange Capital Market
ALNC.OQ,ALNC,,
ALNT.OQ,ALNT,US0193301092,NASDAQ Stock Exchange Global Market
ALNY.OQ,ALNY,US02043Q1076,Nasdaq Stock Exchange Global Select Market
ALOADE.INS,ALOADE,,
ALOT.OQ,ALOT,US04638F1084,NASDAQ Stock Exchange Global Market
ALRM.OQ,ALRM,US0116421050,Nasdaq Stock Exchange Global Select Market
ALRS.OQ,ALRS,US01446U1034,NASDAQ Stock Exchange Capital Market
ALSXP.CJ,ALSX,US5312297899,Costa Rica Exchange
ALT.OQ,ALT,US02155H2004,NASDAQ Stock Exchange Global Market
ALTE.OQ,ALTE,,
ALTG.N,ALTG,US02128L1061,New York Stock Exchange
ALTI.OQ,ALTI,US02157E1064,NASDAQ Stock Exchange Capital Market
ALTO.OQ,ALTO,US0215131063,NASDAQ Stock Exchange Capital Market
ALTR.OQ,ALTR,US0213691035,
ALTRN.BCU,ALTRN,US0213691035,BATS Europe
ALTU.O,ALTU,US02156Y1038,Consolidated Issue listed on NASDAQ Capital Market
ALV.N,ALV,US0528001094,New York Stock Exchange
ALX.N,ALX,US0147521092,New York Stock Exchange
ALXN.O^G21,ALXN,US0153511094,Consolidated Issue Listed on Nasdaq Global Select Market
ALXO.OQ,ALXO,US00166B1052,Nasdaq Stock Exchange Global Select Market
AM.N,AM,US03676B1026,New York Stock Exchange
AMAL.OQ,AMAL,US0226711010,NASDAQ Stock Exchange Global Market
AMAT.OQ,AMAT,US0382221051,Nasdaq Stock Exchange Global Select Market
AMBA.OQ,AMBA,KYG037AX1015,Nasdaq Stock Exchange Global Select Market
AMBP.N,AMBP,LU2369833749,New York Stock Exchange
AMBQ.N,AMBQ,US0231931058,New York Stock Exchange
AMBT.OQ,AMBT,,
AMC.N,AMC,US00165C3025,New York Stock Exchange
AMCC.II,AMCC,,
AMCR.N,AMCR,JE00BV7DQ550,New York Stock Exchange
AMCX.OQ,AMCX,US00164V1035,Nasdaq Stock Exchange Global Select Market
AMD.OQ,AMD,US0079031078,Nasdaq Stock Exchange Global Select Market
AME.N,AME,US0311001004,New York Stock Exchange
AMED.MX,AMED*,US0234361089,Bolsa Mexicana de Valores S.A. de C.V.
AMFI.OQ,AMFI,,
AMG.N,AMG,US0082521081,New York Stock Exchange
AMGN.OQ,AMGN,US0311621009,Nasdaq Stock Exchange Global Select Market
AMH.N,AMH,US02665T3068,New York Stock Exchange
AMIE.OQ,AMIE,,
AMIS.P,AMIS,,
AMKR.OQ,AMKR,US0316521006,Nasdaq Stock Exchange Global Select Market
AMKRDE.INS,AMKRDE,,
AMLN.O^H12,AMLN,US0323461089,Consolidated Issue Listed on Nasdaq Global Select Market
AMLX.OQ,AMLX,US03237H1014,Nasdaq Stock Exchange Global Select Market
AMN.N,AMN,US0017441017,New York Stock Exchange
AMP.II,AMP,,
AMP.N,AMP,US03076C1062,New York Stock Exchange
AMPH.OQ,AMPH,US03209R1032,Nasdaq Stock Exchange Global Select Market
AMPL.OQ,AMPL,US03213A1043,NASDAQ Stock Exchange Capital Market
AMPX.N,AMPX,US03214Q1085,New York Stock Exchange
AMR.N,AMR,US0207641061,New York Stock Exchange
AMRC.N,AMRC,US02361E1082,New York Stock Exchange
AMRI.OQ,AMRI,,
AMRTXP.CJ,AMRTX,US60468T1051,Costa Rica Exchange
