ric,ticker,isin,exchange_name,tracking_status,price_ingest_enabled,pit_fundamentals_enabled,pit_classification_enabled,allow_cuse_native_core,allow_cuse_fundamental_projection,allow_cuse_returns_projection,allow_cpar_core_target,allow_cpar_extended_target
BTBT.OQ,BTBT,KYG1144A1058,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
BTDR.OQ,BTDR,KYG114481008,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
BTH.B,BTH,,,active,1,1,1,1,0,0,1,1
BTH.N,BTH,,,active,1,1,1,1,0,0,1,1
BTMD.OQ,BTMD,US0906831039,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
BTO0F.TRE,BTO0F,US12740C1036,London Stock Exchange,active,1,1,1,1,0,0,1,1
BTSG.OQ,BTSG,US10950A1060,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
BTU.II,BTU,,,active,1,1,1,1,0,0,1,1
BTU.N,BTU,US7045511000,New York Stock Exchange,active,1,1,1,1,0,0,1,1
BUCY.O^G11,BUCY,US1187591094,Consolidated Issue Listed on Nasdaq Global Select Market,active,1,1,1,1,0,0,1,1
BUF.PH,BUF,,,active,1,1,1,1,0,0,1,1
BULL.OQ,BULL,KYG9572D1034,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
BURF.L,BUR,GG00BMGYLN96,London Stock Exchange,active,1,1,1,1,0,0,1,1
BURL.N,BURL,US1220171060,New York Stock Exchange,active,1,1,1,1,0,0,1,1
BUSE.OQ,BUSE,US3193832041,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
BV.N,BV,US10948C1071,New York Stock Exchange,active,1,1,1,1,0,0,1,1
BVFL.OQ,BVFL,US05603E2081,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
BVS.OQ,BVS,US09075A1088,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
BW.N,BW,US05614L2097,New York Stock Exchange,active,1,1,1,1,0,0,1,1
BWA.N,BWA,US0997241064,New York Stock Exchange,active,1,1,1,1,0,0,1,1
BWB.OQ,BWB,US1086211034,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
BWFG.OQ,BWFG,US06654A1034,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
BWIN.OQ,BWIN,US05589G1022,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
BWLD.O^B18,BWLD,US1198481095,Consolidated Issue Listed on Nasdaq Global Select Market,active,1,1,1,1,0,0,1,1
BWMN.OQ,BWMN,US1030021018,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
BWXT.N,BWXT,US05605H1005,New York Stock Exchange,active,1,1,1,1,0,0,1,1
BX.N,BX,US09260D1072,New York Stock Exchange,active,1,1,1,1,0,0,1,1
BXC.N,BXC,US09624H2085,New York Stock Exchange,active,1,1,1,1,0,0,1,1
BXLT.N,BXLT,,,active,1,1,1,1,0,0,1,1
BXMT.N,BXMT,US09257W1009,New York Stock Exchange,active,1,1,1,1,0,0,1,1
BXP.II,BXP,,,active,1,1,1,1,0,0,1,1
BXP.N,BXP,US1011211018,New York Stock Exchange,active,1,1,1,1,0,0,1,1
BY.N,BY,US1244111092,New York Stock Exchange,active,1,1,1,1,0,0,1,1
BYD.N,BYD,US1033041013,New York Stock Exchange,active,1,1,1,1,0,0,1,1
BYI.B,BYI,,,active,1,1,1,1,0,0,1,1
BYI^K14,BYI,US05874B1070,New York Consolidated,active,1,1,1,1,0,0,1,1
BYND.OQ,BYND,US08862E1091,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
BYRN.OQ,BYRN,US12448X2018,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
BYSI.OQ,BYSI,KYG108301006,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
BZ.N,BZ,US48553T1060,New York Stock Exchange,active,1,1,1,1,0,0,1,1
BZAI.OQ,BZAI,US0929151076,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
BZH.N,BZH,US07556Q8814,New York Stock Exchange,active,1,1,1,1,0,0,1,1
BZP.A,BZP,,,active,1,1,1,1,0,0,1,1
C.N,C,US1729674242,New York Stock Exchange,active,1,1,1,1,0,0,1,1
C2GF.ICEM,C2GF,US12508E1010,TPICAP,active,1,1,1,1,0,0,1,1
CA.II,CA,,,active,1,1,1,1,0,0,1,1
CA.N,CA,US23306X8526,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CA.O^K18,CA,US12673P1057,Consolidated Issue Listed on Nasdaq Global Select Market,active,1,1,1,1,0,0,1,1
CA5359194019.TRU,CA5359194019,CA5359194019,TradEcho APA (EU),active,1,1,1,1,0,0,1,1
CAA^B18,CAA^B18,US1281951046,New York Consolidated,active,1,1,1,1,0,0,1,1
CAB.N,CAB,,,active,1,1,1,1,0,0,1,1
CAB.PH,CAB,,,active,1,1,1,1,0,0,1,1
CABO.N,CABO,US12685J1051,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CAC.OQ,CAC,US1330341082,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CACB.OQ,CACB,,,active,1,1,1,1,0,0,1,1
CACC.OQ,CACC,US2253101016,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CACH.OQ,CACH,,,active,1,1,1,1,0,0,1,1
CACI.N,CACI,US1271903049,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CACQ.OQ,CACQ,,,active,1,1,1,1,0,0,1,1
CADL.OQ,CADL,US1374041093,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
CADX.OQ,CADX,,,active,1,1,1,1,0,0,1,1
CAE.TO,CAE,CA1247651088,The Toronto Stock Exchange,active,1,1,1,1,0,0,1,1
CAG.II,CAG,,,active,1,1,1,1,0,0,1,1
CAG.N,CAG,US2058871029,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CAH.N,CAH,US14149Y1082,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CAKE.OQ,CAKE,US1630721017,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CAL.N,CAL,US1295001044,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CALM.OQ,CALM,US1280302027,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CALX.N,CALX,US13100M5094,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CALY.N,CALY,US1311931042,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CAM.N,CAM,US00039J7726,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CAO.B,CAO,,,active,1,1,1,1,0,0,1,1
CAPR.OQ,CAPR,US14070B3096,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CAR.OQ,CAR,US0537741052,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CARE.OQ,CARE,US1461031064,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CARG.OQ,CARG,US1417881091,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CARL.OQ,CARL,US14280C1053,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CARR.N,CARR,US14448C1045,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CARS.N,CARS,US14575E1055,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CART.OQ,CART,US5653941030,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CAS.N,CAS,US82889N3843,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CASH.OQ,CASH,US59100U1088,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CASS.OQ,CASS,US14808P1093,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CASY.OQ,CASY,US1475281036,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CAT.N,CAT,US1491231015,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CATO.N,CATO,US1492051065,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CATX.A,CATX,US46489V3024,American Stock Exchange,active,1,1,1,1,0,0,1,1
CATY.OQ,CATY,US1491501045,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CAVA.N,CAVA,US1489291021,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CAVMN.BCU,CAVMN,US14964U1088,BATS Europe,active,1,1,1,1,0,0,1,1
CB,CB,CH0044328745,New York Consolidated,active,1,1,1,1,0,0,1,1
CBAN.N,CBAN,US19623P1012,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CBE.II,CBE,,,active,1,1,1,1,0,0,1,1
CBEY.OQ,CBEY,,,active,1,1,1,1,0,0,1,1
CBF.PH,CBF,,,active,1,1,1,1,0,0,1,1
CBFV.OQ,CBFV,US12479G1013,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
CBH.II,CBH,,,active,1,1,1,1,0,0,1,1
CBHI.OQ,CBHI,,,active,1,1,1,1,0,0,1,1
CBK.OQ,CBK,US20112C1062,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
CBKCQ.PK,CBKCQ,US1710461054,USA Pink Sheets,active,1,1,1,1,0,0,1,1
CBKN.OQ,CBKN,,,active,1,1,1,1,0,0,1,1
CBL.N,CBL,US1248308785,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CBLL.OQ,CBLL,US15678C1027,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CBM.B,CBM,,,active,1,1,1,1,0,0,1,1
CBM.N,CBM,,,active,1,1,1,1,0,0,1,1
CBNA.N,CBNA,US15746L1008,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CBNJ.OQ,CBNJ,,,active,1,1,1,1,0,0,1,1
CBNK.OQ,CBNK,US1397371006,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CBON.OQ,CBON,,,active,1,1,1,1,0,0,1,1
CBOU.OQ,CBOU,,,active,1,1,1,1,0,0,1,1
CBR.II,CBR,,,active,1,1,1,1,0,0,1,1
CBRE.N,CBRE,US12504L1098,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CBRL.OQ,CBRL,US22410J1060,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CBRLDE.INS,CBRLDE,,,active,1,1,1,1,0,0,1,1
CBS.II,CBS,,,active,1,1,1,1,0,0,1,1
CBSH.OQ,CBSH,US2005251036,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CBT.N,CBT,US1270551013,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CBU.N,CBU,US2036071064,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CBZ.N,CBZ,US1248051021,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CB^A16,CB,US1712321017,New York Consolidated,active,1,1,1,1,0,0,1,1
CC.N,CC,US1638511089,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CCB.OQ,CCB,US19046P2092,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CCBG.OQ,CCBG,US1396741050,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CCBL.O,CCBL,,,active,1,1,1,1,0,0,1,1
CCCC.OQ,CCCC,US12529R1077,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CCE.II,CCE,,,active,1,1,1,1,0,0,1,1
CCE.N,CCE,,,active,1,1,1,1,0,0,1,1
CCG.N,CCG,KYG207071088,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CCI.N,CCI,US22822V1017,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CCIX.OQ,CCIX,KYG213011094,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
CCJ.N,CCJ,,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CCK.N,CCK,US2283681060,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CCL.II,CCL,,,active,1,1,1,1,0,0,1,1
CCL.N,CCL,PA1436583006,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CCNE.OQ,CCNE,US1261281075,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CCO.N,CCO,US18453H1068,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CCOI.OQ,CCOI,US19239V3024,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CCOW.OQ,CCOW,,,active,1,1,1,1,0,0,1,1
CCP^H17,CCP^H17,US1416241065,New York Consolidated,active,1,1,1,1,0,0,1,1
CCRN.OQ,CCRN,US2274831047,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CCS.N,CCS,US1565043007,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CCSI.OQ,CCSI,US20848V1052,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CCU,CCU,US2044291043,New York Consolidated,active,1,1,1,1,0,0,1,1
CD.OQ,CD,KYG594672027,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
CDE.N,CDE,US1921085049,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CDEDE.INS,CDEDE,,,active,1,1,1,1,0,0,1,1
CDI.B,CDI,,,active,1,1,1,1,0,0,1,1
CDI.N,CDI,,,active,1,1,1,1,0,0,1,1
CDLX.OQ,CDLX,US14161W1053,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
CDNA.OQ,CDNA,US14167L1035,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
CDNS.OQ,CDNS,US1273871087,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CDP.N,CDP,US22002T1088,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CDRB.OQ,CDRB,,,active,1,1,1,1,0,0,1,1
CDRE.N,CDRE,US12763L1052,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CDW.OQ,CDW,US12514G1085,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CDXS.OQ,CDXS,US1920051067,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CDZI.OQ,CDZI,US1275372076,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
CE.N,CE,US1508701034,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CEB.N,CEB,,,active,1,1,1,1,0,0,1,1
CEC.B,CEC,,,active,1,1,1,1,0,0,1,1
CECO.OQ,CECO,US1251411013,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CEDC.OQ,CEDC,,,active,1,1,1,1,0,0,1,1
CEG.II,CEG,,,active,1,1,1,1,0,0,1,1
CEG.N,CEG,US21037T1097,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CEGEDE.INS,CEGEDE,,,active,1,1,1,1,0,0,1,1
CELC.OQ,CELC,US15102K1007,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
CELG.II,CELG,,,active,1,1,1,1,0,0,1,1
CELG.OQ,CELG,,,active,1,1,1,1,0,0,1,1
CELH.OQ,CELH,US15118V2079,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
CELL.O,CELL,,,active,1,1,1,1,0,0,1,1
CELL.OQ,CELL,,,active,1,1,1,1,0,0,1,1
CENT.OQ,CENT,US1535271068,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CENTA.OQ,CENTA,US1535272058,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CENX.OQ,CENX,US1564311082,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CEPH.O^J11,CEPH,US1567081096,Consolidated Issue Listed on Nasdaq Global Select Market,active,1,1,1,1,0,0,1,1
CERE.OQ,CERE,US15678U1280,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
CERN.O^F22,CERN,US1567821046,Consolidated Issue Listed on Nasdaq Global Select Market,active,1,1,1,1,0,0,1,1
CERS.OQ,CERS,US1570851014,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
CETVN.BCU,CETVN,BMG200452024,BATS Europe,active,1,1,1,1,0,0,1,1
CEVA.OQ,CEVA,US1572101053,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CF.N,CF,US1252691001,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CFBK.OQ,CFBK,US12520L1098,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
CFC.II,CFC,US22237LHF22,,active,1,1,1,1,0,0,1,1
CFFI.OQ,CFFI,US12466Q1040,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CFFN.OQ,CFFN,US14057J1016,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CFL.N,CFL,,,active,1,1,1,1,0,0,1,1
CFN.N,CFN,,,active,1,1,1,1,0,0,1,1
CFNB.PK,CFNB,US1302221023,USA Pink Sheets,active,1,1,1,1,0,0,1,1
CFNL.OQ,CFNL,,,active,1,1,1,1,0,0,1,1
CFR.N,CFR,US2298991090,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CG.OQ,CG,US14316J1088,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CGEM.OQ,CGEM,US2300311063,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CGI.C,CGI,,,active,1,1,1,1,0,0,1,1
CGI.N,CGI,,,active,1,1,1,1,0,0,1,1
CGNX.OQ,CGNX,US1924221039,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CGON.OQ,CGON,US1569441009,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CGX.B,CGX,,,active,1,1,1,1,0,0,1,1
CGX.N,CGX,,,active,1,1,1,1,0,0,1,1
CHAP.N,CHAP,,,active,1,1,1,1,0,0,1,1
CHB.B,CHB,,,active,1,1,1,1,0,0,1,1
CHC.B,CHC,,,active,1,1,1,1,0,0,1,1
CHCO.OQ,CHCO,US1778351056,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CHCT.N,CHCT,US20369C1062,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CHD.N,CHD,US1713401024,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CHDN.OQ,CHDN,US1714841087,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CHDX.OQ,CHDX,,,active,1,1,1,1,0,0,1,1
CHE.N,CHE,US16359R1032,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CHEF.OQ,CHEF,US1630861011,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CHFN.OQ,CHFN,,,active,1,1,1,1,0,0,1,1
CHG.B,CHG,,,active,1,1,1,1,0,0,1,1
CHG.N,CHG,,,active,1,1,1,1,0,0,1,1
CHGG.N,CHGG,US1630921096,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CHH.N,CHH,US1699051066,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CHK.II,CHK,,,active,1,1,1,1,0,0,1,1
CHKP.OQ,CHKP,IL0010824113,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CHMG.OQ,CHMG,US1640241014,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CHMI.N,CHMI,US1646511014,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CHRD.OQ,CHRD,US6742152076,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CHRS.OQ,CHRS,US19249H1032,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
CHRW.II,CHRW,,,active,1,1,1,1,0,0,1,1
CHRW.OQ,CHRW,US12541W2098,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CHSI.OQ,CHSI,,,active,1,1,1,1,0,0,1,1
CHS^A24,CHS^A24,US1686151028,New York Consolidated,active,1,1,1,1,0,0,1,1
CHTR.OQ,CHTR,US16119P1084,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CHTRAF.INS,CHTRAF,,,active,1,1,1,1,0,0,1,1
CHTT.OQ,CHTT,,,active,1,1,1,1,0,0,1,1
CHWY.N,CHWY,US16679L1098,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CHZ.B,CHZ,,,active,1,1,1,1,0,0,1,1
CI.N,CI,US1255231003,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CIA.N,CIA,US1747401008,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CIEN.II,CIEN,,,active,1,1,1,1,0,0,1,1
CIEN.N,CIEN,US1717793095,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CIFR.OQ,CIFR,US17253J1060,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CIM.N,CIM,US16934Q8024,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CINF.II,CINF,,,active,1,1,1,1,0,0,1,1
CINF.OQ,CINF,US1720621010,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CIRN.BCU,CIRN,US17273K1097,BATS Europe,active,1,1,1,1,0,0,1,1
CIT.II,CIT,US12557WGW55,,active,1,1,1,1,0,0,1,1
CITP.OQ,CITP,,,active,1,1,1,1,0,0,1,1
CIVB.OQ,CIVB,US1788671071,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
CIX.A,CIX,US20563P1012,American Stock Exchange,active,1,1,1,1,0,0,1,1
CJES.N,CJES,,,active,1,1,1,1,0,0,1,1
CKPDE.INS,CKPDE,,,active,1,1,1,1,0,0,1,1
CKR.MW,CKR,,,active,1,1,1,1,0,0,1,1
CL.N,CL,US1941621039,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CLAR.OQ,CLAR,US18270P1093,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CLAY.O,CLAY,,,active,1,1,1,1,0,0,1,1
CLB.N,CLB,US21867A1051,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CLBK.OQ,CLBK,US1976411033,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CLC.B,CLC,,,active,1,1,1,1,0,0,1,1
CLC.N,CLC,,,active,1,1,1,1,0,0,1,1
CLDN.OQ,CLDN,,,active,1,1,1,1,0,0,1,1
CLDT.N,CLDT,US16208T1025,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CLDX.OQ,CLDX,US15117B2025,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
CLF.N,CLF,US1858991011,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CLFD.OQ,CLFD,US18482P1030,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
CLGX.K^F21,CLGX,US21871D1037,New York Consolidated,active,1,1,1,1,0,0,1,1
CLH.N,CLH,US1844961078,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CLMB.OQ,CLMB,US9467601053,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
CLMS.OQ,CLMS,,,active,1,1,1,1,0,0,1,1
CLMT.OQ,CLMT,US1314281049,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CLNE.OQ,CLNE,US1844991018,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CLNN.OQ,CLNN,US1856342019,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
CLNY.N,CLNY,,,active,1,1,1,1,0,0,1,1
CLOV.OQ,CLOV,US18914F1030,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CLP.N,CLP,,,active,1,1,1,1,0,0,1,1
CLPR.N,CLPR,US18885T3068,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CLPT.OQ,CLPT,US18507C1036,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
CLRK.O,CLRK,,,active,1,1,1,1,0,0,1,1
CLR^K22,CLR^K22,US2120151012,New York Consolidated,active,1,1,1,1,0,0,1,1
CLSK.OQ,CLSK,US18452B2097,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
CLUB.OQ,CLUB,,,active,1,1,1,1,0,0,1,1
CLVSN.BCU,CLVSN,US1894641000,BATS Europe,active,1,1,1,1,0,0,1,1
CLW.N,CLW,US18538R1032,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CLX.N,CLX,US1890541097,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CLYM.O,CLYM,US28658R1068,NASDAQ National Market System,active,1,1,1,1,0,0,1,1
CMA.II,CMA,,,active,1,1,1,1,0,0,1,1
CMBM.OQ,CMBM,KYG177661090,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
CMC.N,CMC,US2017231034,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CMCL.A,CMCL,JE00BF0XVB15,American Stock Exchange,active,1,1,1,1,0,0,1,1
CMCO.OQ,CMCO,US1993331057,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CMCSA.OQ,CMCSA,US20030N1019,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CMCSK.O^L15,CMCSK,US20030N2009,Consolidated Issue Listed on Nasdaq Global Select Market,active,1,1,1,1,0,0,1,1
CMCT.OQ,CMCT,US12564W1027,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
CMDB.N,CMDB,MHY2001C1012,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CME.II,CME,,,active,1,1,1,1,0,0,1,1
CME.OQ,CME,US12572Q1058,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CMG.N,CMG,US1696561059,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CMGB.MW,CMGB,,,active,1,1,1,1,0,0,1,1
CMGIDE.INS,CMGIDE,,,active,1,1,1,1,0,0,1,1
CMI.II,CMI,,,active,1,1,1,1,0,0,1,1
CMI.N,CMI,US2310211063,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CMLS.PK,CMLSQ,US2310828015,USA Pink Sheets,active,1,1,1,1,0,0,1,1
CMOS.II,CMOS,,,active,1,1,1,1,0,0,1,1
CMP.N,CMP,US20451N1019,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CMPR.OQ,CMPR,IE00BKYC3F77,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CMPX.OQ,CMPX,US20454B1044,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
CMRC.OQ,CMRC,US08975P1084,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
CMRE.N,CMRE,MHY1771G1026,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CMS.II,CMS,,,active,1,1,1,1,0,0,1,1
CMS.N,CMS,US1258961002,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CMT.A,CMT,US2186831002,American Stock Exchange,active,1,1,1,1,0,0,1,1
CMTG.N,CMTG,US18270D1063,New York Stock Exchange,active,1,1,1,1,0,0,1,1
CMTL.OQ,CMTL,US2058262096,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
CMTY.OQ,CMTY,,,active,1,1,1,1,0,0,1,1
CNB.N,CNB,,,active,1,1,1,1,0,0,1,1
